IT Tower	Service Family	Service Type (Name)	Service Sub Type	Service Usage Type	Product Code	Usage Type	[lineItem/Operation]	lineItem/LineItemDescription
Storage	Application services	Elastic File System	Fees	Tax	AmazonEFS			Tax%
Storage	_anagement or provisioning	Elastic File System	Storage	Standart Timed storage	AmazonEFS	%TimedStorage-ByteHrs		
Storage	_anagement or provisioning	Elastic File System	Storage	Infrequent Access storage	AmazonEFS	%IADataAccess-Bytes		
Storage	_anagement or provisioning	Elastic File System	Storage	Throughput mode	AmazonEFS	%TP-MiBpsHrs%		
Machine Learning	Application services	Elastic Inference	Fees	Tax	AmazonEI			
Machine Learning	GPU-powered acceleration	Elastic Inference	Acceleration	EIA1 Accelerator type	AmazonEI	%eia1%		
Machine Learning	GPU-powered acceleration	Elastic Inference	Acceleration	EIA2 Accelerator type	AmazonEI	%eia2%		
Database	Application services	ElastiCache	Fees	Tax	AmazonElastiCache			Tax%
Database	In-memory caching service	ElastiCache	Cache Nodes	On-Demand	AmazonElastiCache	%NodeUsage:cache%		
Database	In-memory caching service	ElastiCache	Cache Engine	Snapshot	AmazonElastiCache	%CreateCacheSnapshot%		
Database	In-memory caching service	ElastiCache	Storage	Backup Storage	AmazonElastiCache	%ElastiCache:BackupUsage		
Security	Application services	GuardDuty	Fees	Tax	AmazonGuardDuty			Tax%
Security	Threat detection service	GuardDuty	Security & Compliance	Monitorind & Threat detection	AmazonGuardDuty	%FreeEventsAnalyzed		
Security	Threat detection service	GuardDuty	Security & Compliance	Monitorind & Threat detection	AmazonGuardDuty	%PaidEventsAnalyzed		
Security	Threat detection service	GuardDuty	Security & Compliance	Event Analysis	AmazonGuardDuty	%FreeEventsAnalyzed-Bytes		
Security	Threat detection service	GuardDuty	Security & Compliance	Event Analysis	AmazonGuardDuty	%PaidEventsAnalyzed-Bytes		
Analytics	Application services	Kinesis	Fees	Tax	AmazonKinesis			Tax%
Analytics	Processes and analyze streaming data	Kinesis	Data Stream	Provisioned Mode	AmazonKinesis	%Storage-ShardHour		
Analytics	Processes and analyze streaming data	Kinesis	Data Stream	Metric of the resource	AmazonKinesis	%PutRequestPayloadUnits		
Analytics	Processes and analyze streaming data	Kinesis	Data Stream	On-demand mode	AmazonKinesis	%ReadBytes		
Analytics	Processes and analyze streaming data	Kinesis	Data Stream	Enhanced fan-out	AmazonKinesis	%EnhancedFanoutHour		
Analytics	Processes and analyze streaming data	Kinesis	Data Stream	Provisioned Mode	AmazonKinesis	%Extended-ShardHour		
Machine Learning	Intelligent enterprise search service	Kendra	Subscription Type	Enterprise Edition	AmazonKendra	%KendraEnterpriseEdition		
Machine Learning	Intelligent enterprise search service	Kendra	Pricing	Per document scanned	AmazonKendra	%DocumentsScanned		
Machine Learning	Intelligent enterprise search service	Kendra	Pricing	Per hour per connector when syncing	AmazonKendra	%ConnectorSync		
Machine Learning	Application services	Lex	Fees	Tax	AmazonLex			Tax%
Machine Learning	Artificial intelligence	Lex	Request and response interaction	Speech request,Text request	AmazonLex	%Lex-Req		
Compute	Cloud resources	Lightsail	Instance Data Transfer	Data transfer	AmazonLightsail	%DataXfer%		
Compute	Cloud resources	Lightsail	Instance	VPS	AmazonLightsail	%UnusedStaticIP		
Compute	Cloud resources	Lightsail	Instance plan	Object Storage	AmazonLightsail	%BundleUsage%		
Compute	Cloud resources	Lightsail	Block storage	Instance and disk usage	AmazonLightsail	%DiskUsage		
Compute	Cloud resources	Lightsail	Block storage	Instance and disk snapshots	AmazonLightsail	SnapshotUsage		
Database	Application services	Redshift	Fees	Tax	AmazonRedshift			Tax%
Database	Cloud Data Warehouse	Redshift	RA3 Instance	Node RA3 type	AmazonRedshift	%Node:ra%		
Database	Cloud Data Warehouse	Redshift	Redshift Spectrum	SQL queries data in Amazon S3	AmazonRedshift	%DataScanned%		
Database	Cloud Data Warehouse	Redshift	Dense Compute	DC2 large node	AmazonRedshift	%Node:dc%		
Database	Cloud Data Warehouse	Redshift	Dense Storage	DS2	AmazonRedshift	%Node:ds%		
Networking and Content Delivery	DNS Webservice	Route 53	Domain Names	Route53 Resolver DNS Firewall	AmazonRegistrar	%Route53-Domains		
